account_id,customer_id,account_type,balance,interest_rate,status
A200001,C100000,Savings,80080.56,3.01,Active
A200002,C100001,Salary,363790.11,4.75,Active
A200003,C100001,Savings,253010.43,4.02,Dormant
A200004,C100002,Savings,60787.47,6.03,Active
A200005,C100003,Savings,49784.32,4.88,Active
A200006,C100003,Premium,21330.93,3.38,Active
A200007,C100004,Savings,45934.24,4.83,Dormant
A200008,C100005,Savings,175546.47,5.46,Active
A200009,C100006,Current,96193.3,2.7,Active
A200010,C100006,Salary,184369.29,3.73,Active
A200011,C100007,Savings,321576.52,4.67,Dormant
A200012,C100008,Savings,288723.53,5.83,Dormant
A200013,C100008,Savings,77822.84,4.32,Active
A200014,C100009,Savings,171035.43,2.58,Dormant
A200015,C100010,Savings,131086.82,2.53,Active
A200016,C100011,Savings,196507.61,5.79,Active
A200017,C100012,Current,144906.05,4.46,Dormant
A200018,C100012,Savings,211897.22,4.13,Dormant
A200019,C100013,Salary,125784.35,6.22,Active
A200020,C100013,Premium,94411.42,5.23,Active
A200021,C100014,Savings,118388.19,2.64,Active
A200022,C100015,Savings,170284.47,4.29,Active
A200023,C100016,Savings,342636.05,6.28,Active
A200024,C100016,Salary,244519.8,6.46,Active
A200025,C100017,Current,126605.8,5.83,Active
A200026,C100018,Savings,322228.77,3.81,Active
A200027,C100018,Savings,85619.78,3.83,Active
A200028,C100019,Savings,38737.95,6.29,Active
A200029,C100020,Current,73908.93,3.3,Active
A200030,C100020,Salary,35797.38,4.23,Dormant
A200031,C100021,Savings,154883.61,5.43,Active
A200032,C100021,Savings,67869.24,4.96,Active
A200033,C100022,Current,14822.17,5.79,Active
A200034,C100023,Savings,53374.64,3.09,Active
A200035,C100024,Salary,48540.1,4.12,Dormant
A200036,C100025,Savings,331958.23,4.37,Active
A200037,C100026,Savings,116850.35,3.33,Dormant
A200038,C100026,Salary,255654.08,6.22,Active
A200039,C100027,Savings,70263.78,5.1,Active
A200040,C100028,Savings,241732.11,3.57,Active
A200041,C100028,Savings,231475.25,6.13,Active
A200042,C100029,Savings,307264.06,5.18,Active
A200043,C100030,Savings,21476.21,3.71,Active
A200044,C100031,Salary,26664.14,3.94,Active
A200045,C100031,Premium,14171.82,5.19,Active
A200046,C100032,Savings,76261.61,5.76,Active
A200047,C100033,Salary,100249.43,2.83,Dormant
A200048,C100034,Current,390248.0,4.44,Active
A200049,C100035,Savings,128612.23,4.31,Active
A200050,C100035,Salary,165140.04,2.77,Dormant
A200051,C100036,Savings,51035.57,2.63,Dormant
A200052,C100037,Savings,197409.24,4.49,Active
A200053,C100037,Savings,96450.98,4.14,Active
