card_id,customer_id,card_type,credit_limit,used_amount,available_limit,reward_points,annual_fee,status
CC402094,C102094,TravelCard,286300.0,40823.0,245477.0,8143,2999,Active
CC400160,C100160,FuelCard,72200.0,55527.19,16672.81,13258,499,Active
CC406323,C106323,FuelCard,76000.0,49272.83,26727.17,14152,999,Active
CC409997,C109997,SmartCard,147000.0,55516.25,91483.75,11796,499,Active
CC409945,C109945,PremiumCard,139800.0,53772.61,86027.39,18774,2999,Active
CC407602,C107602,TravelCard,21000.0,11177.64,9822.36,8503,2999,Active
CC403637,C103637,CashbackCard,192700.0,74803.58,117896.42,13163,999,Active
CC409894,C109894,TravelCard,72500.0,14130.88,58369.12,10558,499,Active
CC403239,C103239,StudentCard,157800.0,61675.27,96124.73,4246,2999,Active
CC401192,C101192,CashbackCard,242300.0,48609.11,193690.89,13438,2999,Active
CC408745,C108745,StudentCard,69500.0,31358.99,38141.01,17264,499,Active
CC405227,C105227,FuelCard,349200.0,176611.37,172588.63,15921,0,Active
CC405370,C105370,StudentCard,144600.0,60358.32,84241.68,12509,2999,Active
CC401565,C101565,PremiumCard,289400.0,149789.81,139610.19,5237,0,Active
CC400859,C100859,StudentCard,247300.0,106768.37,140531.63,2992,999,Active
CC406422,C106422,SmartCard,245100.0,180554.35,64545.65,16384,2999,Active
CC401979,C101979,FuelCard,554700.0,106299.45,448400.55,5985,999,Active
CC407094,C107094,CashbackCard,272000.0,179436.72,92563.28,8445,0,Active
CC402634,C102634,StudentCard,115400.0,48273.62,67126.38,10675,999,Active
CC402344,C102344,TravelCard,356500.0,104537.91,251962.09,311,0,Active
CC409367,C109367,StudentCard,32300.0,13908.36,18391.64,10306,2999,Active
CC407734,C107734,TravelCard,113700.0,25275.95,88424.05,173,499,Active
CC409022,C109022,FuelCard,205800.0,147651.48,58148.52,3473,2999,Active
CC407138,C107138,StudentCard,173400.0,93243.69,80156.31,18490,0,Active
CC403135,C103135,PremiumCard,210800.0,56709.07,154090.93,17845,2999,Active
CC407890,C107890,SmartCard,403000.0,175228.41,227771.59,4586,999,Active
CC407088,C107088,FuelCard,140000.0,28052.86,111947.14,12484,499,Active
CC404155,C104155,PremiumCard,32300.0,17214.67,15085.33,2734,0,Active
CC404222,C104222,TravelCard,174300.0,32507.38,141792.62,18774,499,Active
CC402684,C102684,TravelCard,238500.0,144537.44,93962.56,1244,999,Active
CC407810,C107810,CashbackCard,261700.0,177170.72,84529.28,17822,2999,Active
CC403718,C103718,FuelCard,273000.0,194569.52,78430.48,649,999,Active
CC404206,C104206,StudentCard,285900.0,104223.43,181676.57,18435,2999,Active
CC404531,C104531,SmartCard,138300.0,62228.86,76071.14,658,499,Active
CC403512,C103512,StudentCard,265200.0,152253.37,112946.63,14901,499,Active
CC408717,C108717,SmartCard,273700.0,104882.17,168817.83,4250,999,Active
CC400340,C100340,PremiumCard,117200.0,13812.08,103387.92,13808,2999,Active
CC408222,C108222,SmartCard,383500.0,229683.05,153816.95,731,499,Active
CC405856,C105856,TravelCard,221500.0,36316.53,185183.47,12278,2999,Active
CC401480,C101480,TravelCard,67000.0,39920.69,27079.31,15412,2999,Active
CC402417,C102417,StudentCard,38700.0,11854.39,26845.61,13356,0,Active
CC407366,C107366,StudentCard,78900.0,44505.65,34394.35,6287,499,Active
CC408047,C108047,TravelCard,208800.0,34868.31,173931.69,5912,499,Active
CC401251,C101251,TravelCard,224100.0,149029.8,75070.2,18670,0,Active
CC407540,C107540,PremiumCard,104600.0,2365.82,102234.18,284,999,Active
CC402722,C102722,CashbackCard,162900.0,15287.14,147612.86,7017,2999,Active
CC402314,C102314,FuelCard,67900.0,22230.94,45669.06,12567,0,Active
CC405128,C105128,CashbackCard,223200.0,64484.67,158715.33,12949,999,Active
CC405891,C105891,PremiumCard,259400.0,46386.34,213013.66,19942,2999,Active
CC406075,C106075,FuelCard,177000.0,141426.34,35573.66,12742,499,Active
CC406659,C106659,TravelCard,85400.0,67166.49,18233.51,17347,999,Active
CC406349,C106349,TravelCard,185600.0,133126.22,52473.78,1565,2999,Active
CC404898,C104898,StudentCard,330000.0,108250.42,221749.58,498,2999,Active
CC408734,C108734,PremiumCard,228200.0,56474.5,171725.5,969,0,Active
CC408002,C108002,SmartCard,161900.0,78567.15,83332.85,15837,2999,Active
CC409297,C109297,FuelCard,125200.0,38306.75,86893.25,5226,499,Active
CC407649,C107649,SmartCard,168000.0,100896.05,67103.95,16251,0,Active
CC409041,C109041,StudentCard,123100.0,90017.01,33082.99,17983,999,Active
CC408871,C108871,TravelCard,146400.0,92607.66,53792.34,18428,999,Active
CC404803,C104803,CashbackCard,282300.0,66160.05,216139.95,6908,499,Active
CC402609,C102609,StudentCard,73800.0,2018.37,71781.63,7800,0,Active
CC406802,C106802,CashbackCard,57600.0,9074.18,48525.82,6222,0,Active
CC406593,C106593,SmartCard,210500.0,88289.2,122210.8,9658,999,Active
CC401937,C101937,SmartCard,274800.0,26775.64,248024.36,9359,999,Active
CC404556,C104556,StudentCard,96400.0,48277.01,48122.99,17382,999,Active
CC401215,C101215,CashbackCard,198900.0,128430.99,70469.01,14250,499,Active
CC407318,C107318,StudentCard,155900.0,70475.63,85424.37,16008,2999,Active
CC401867,C101867,SmartCard,194100.0,86623.87,107476.13,2000,499,Active
CC406308,C106308,PremiumCard,144500.0,53035.41,91464.59,6967,499,Active
CC402977,C102977,StudentCard,130900.0,14693.19,116206.81,9269,999,Active
CC401041,C101041,CashbackCard,295400.0,127109.25,168290.75,12685,0,Active
CC409504,C109504,PremiumCard,128400.0,57474.74,70925.26,11617,499,Active
CC402522,C102522,FuelCard,318500.0,239723.52,78776.48,7819,0,Active
CC401223,C101223,CashbackCard,285500.0,104511.53,180988.47,5995,2999,Active
CC409243,C109243,FuelCard,176200.0,94634.87,81565.13,7620,0,Active
CC409733,C109733,FuelCard,101000.0,12002.46,88997.54,10035,2999,Active
CC400457,C100457,CashbackCard,281200.0,190526.07,90673.93,11288,999,Active
CC408242,C108242,StudentCard,148500.0,75885.92,72614.08,19048,999,Active
CC403531,C103531,StudentCard,234700.0,150006.3,84693.7,12078,999,Active
CC409686,C109686,StudentCard,252600.0,149500.67,103099.33,4469,2999,Active
CC402202,C102202,TravelCard,214800.0,142055.61,72744.39,12909,0,Active
CC408326,C108326,FuelCard,37500.0,4393.56,33106.44,6927,999,Active
CC404408,C104408,StudentCard,188500.0,23558.6,164941.4,19556,0,Active
CC407237,C107237,TravelCard,243700.0,107482.97,136217.03,7182,999,Active
CC402323,C102323,TravelCard,80800.0,5745.92,75054.08,5012,2999,Active
CC407091,C107091,TravelCard,266300.0,23959.48,242340.52,2817,2999,Active
CC403304,C103304,StudentCard,98900.0,47594.98,51305.02,13758,2999,Active
CC407029,C107029,TravelCard,100200.0,24413.09,75786.91,7112,0,Active
CC404791,C104791,PremiumCard,324900.0,29846.06,295053.94,8039,0,Active
CC402718,C102718,PremiumCard,103300.0,32286.7,71013.3,19329,0,Active
CC405837,C105837,FuelCard,343500.0,41877.13,301622.87,4594,999,Active
CC403153,C103153,StudentCard,48500.0,31996.58,16503.42,15375,499,Active
CC407752,C107752,StudentCard,329300.0,214283.68,115016.32,19063,499,Active
CC403080,C103080,TravelCard,301100.0,79054.78,222045.22,9551,999,Active
CC403641,C103641,FuelCard,131800.0,100814.48,30985.52,8587,0,Active
CC406199,C106199,TravelCard,180800.0,96412.54,84387.46,15857,0,Active
CC407401,C107401,TravelCard,107200.0,45233.54,61966.46,4595,0,Active
CC409980,C109980,SmartCard,249600.0,137964.82,111635.18,3025,0,Active
CC403902,C103902,TravelCard,64400.0,37327.05,27072.95,12051,499,Active
CC403364,C103364,StudentCard,213400.0,86757.02,126642.98,14085,2999,Active
CC404621,C104621,TravelCard,353200.0,260788.5,92411.5,19261,999,Active
CC406008,C106008,CashbackCard,145800.0,42783.09,103016.91,4160,0,Active
CC408951,C108951,FuelCard,172500.0,92763.73,79736.27,15757,0,Active
CC404171,C104171,CashbackCard,311500.0,52920.07,258579.93,4615,999,Active
CC409083,C109083,StudentCard,192000.0,13008.69,178991.31,8014,2999,Active
CC404768,C104768,PremiumCard,464700.0,51258.96,413441.04,857,0,Active
CC407142,C107142,PremiumCard,61700.0,1149.69,60550.31,6958,2999,Active
CC401129,C101129,PremiumCard,82500.0,10021.7,72478.3,7885,2999,Active
CC405225,C105225,FuelCard,227900.0,89230.65,138669.35,14991,2999,Active
CC407190,C107190,TravelCard,350200.0,187136.2,163063.8,13389,2999,Active
CC408508,C108508,SmartCard,202400.0,123498.53,78901.47,5766,2999,Active
CC401340,C101340,PremiumCard,62700.0,24044.2,38655.8,11980,499,Active
CC403646,C103646,PremiumCard,518800.0,401129.96,117670.04,3926,2999,Active
CC406691,C106691,TravelCard,143500.0,70546.52,72953.48,6371,499,Active
CC408433,C108433,TravelCard,223000.0,3504.94,219495.06,9788,0,Active
CC402938,C102938,TravelCard,189500.0,78051.23,111448.77,2567,499,Active
CC402018,C102018,StudentCard,159800.0,103376.69,56423.31,11543,0,Active
CC409186,C109186,CashbackCard,146900.0,107678.81,39221.19,19251,2999,Active
CC404257,C104257,CashbackCard,21300.0,16475.28,4824.72,4763,0,Active
CC404268,C104268,CashbackCard,29800.0,11588.53,18211.47,17231,2999,Active
CC403698,C103698,CashbackCard,232400.0,141542.86,90857.14,982,499,Active
CC408585,C108585,StudentCard,133200.0,97463.3,35736.7,15286,0,Active
CC406996,C106996,StudentCard,198100.0,49196.33,148903.67,1218,499,Active
CC406648,C106648,SmartCard,62700.0,23373.57,39326.43,2390,999,Active
CC409796,C109796,StudentCard,159300.0,96352.47,62947.53,5402,0,Active
CC403544,C103544,TravelCard,185000.0,136332.22,48667.78,8836,999,Active
CC405581,C105581,FuelCard,232000.0,3301.76,228698.24,17895,2999,Active
CC409770,C109770,StudentCard,134900.0,42252.41,92647.59,15634,499,Active
CC404696,C104696,TravelCard,173400.0,27864.7,145535.3,18900,499,Active
CC406731,C106731,StudentCard,98900.0,73355.99,25544.01,11350,499,Active
CC407040,C107040,TravelCard,175600.0,68183.54,107416.46,16289,999,Active
CC402329,C102329,TravelCard,211800.0,82381.08,129418.92,1724,2999,Active
CC403389,C103389,CashbackCard,240500.0,77334.19,163165.81,4636,0,Active
CC403933,C103933,StudentCard,59600.0,19814.59,39785.41,5402,999,Active
CC404739,C104739,CashbackCard,307400.0,179697.07,127702.93,6252,0,Active
CC409758,C109758,CashbackCard,299400.0,35474.26,263925.74,12085,499,Active
CC404465,C104465,StudentCard,229700.0,101220.08,128479.92,3776,2999,Active
CC406315,C106315,StudentCard,58000.0,41567.09,16432.91,10990,0,Active
CC404481,C104481,StudentCard,123000.0,18096.95,104903.05,10239,499,Active
CC403680,C103680,StudentCard,105500.0,65469.38,40030.62,11373,0,Active
CC403707,C103707,PremiumCard,312900.0,38571.29,274328.71,4212,499,Active
CC403683,C103683,FuelCard,55900.0,12472.01,43427.99,10765,999,Active
CC406087,C106087,CashbackCard,55100.0,11867.99,43232.01,9620,499,Active
CC408645,C108645,CashbackCard,147100.0,12488.33,134611.67,19046,999,Active
CC406560,C106560,CashbackCard,206500.0,93122.33,113377.67,9198,0,Active
CC404295,C104295,FuelCard,233000.0,123592.64,109407.36,13907,0,Active
CC405806,C105806,FuelCard,149000.0,3076.04,145923.96,494,999,Active
CC400529,C100529,FuelCard,245000.0,132567.2,112432.8,9816,0,Active
CC402732,C102732,CashbackCard,94300.0,34990.26,59309.74,7686,999,Active
CC409252,C109252,CashbackCard,205200.0,109162.11,96037.89,2267,999,Active
CC409368,C109368,CashbackCard,74300.0,54026.62,20273.38,11881,499,Active
CC406752,C106752,PremiumCard,268200.0,43373.4,224826.6,7579,499,Active
CC401330,C101330,FuelCard,128100.0,50044.98,78055.02,4670,2999,Active
CC409705,C109705,SmartCard,237800.0,160995.29,76804.71,16015,499,Active
CC401044,C101044,PremiumCard,218500.0,6173.13,212326.87,6213,499,Active
CC408440,C108440,TravelCard,164600.0,3157.02,161442.98,7919,2999,Active
CC400704,C100704,CashbackCard,217500.0,69553.83,147946.17,16596,999,Active
CC409567,C109567,StudentCard,270300.0,55970.59,214329.41,1476,0,Active
CC403055,C103055,CashbackCard,161400.0,115423.33,45976.67,12323,999,Active
CC401862,C101862,SmartCard,214900.0,56983.19,157916.81,8750,499,Active
