loan_id,customer_id,loan_type,requested_amount,tenure_months,monthly_income,credit_score,existing_debt,employment_years,loan_status,default_probability_true,defaulted
L305700,C105700,Education Loan,1192877.39,24,46700,654,10939.97,16.8,Approved,0.1805,0
L302454,C102454,Education Loan,527578.88,36,46100,714,2961.03,13.3,Approved,0.0623,0
L302286,C102286,Business Loan,2334464.4,84,91100,900,11362.94,30.4,Approved,0.0256,0
L302934,C102934,Vehicle Loan,1219248.75,180,74300,716,7840.57,21.1,Pending,0.0582,0
L305474,C105474,Personal Loan,547950.84,12,36500,692,13723.42,0.4,Pending,0.2649,0
L308714,C108714,Education Loan,1099685.24,180,127900,698,22240.4,10.1,Pending,0.1438,0
L308802,C108802,Personal Loan,500632.43,24,54100,626,5568.13,24.5,Pending,0.0778,0
L309959,C109959,Vehicle Loan,881695.54,120,75200,643,2023.82,25.2,Pending,0.1014,0
L305570,C105570,Vehicle Loan,481088.34,120,89800,691,12730.04,28.7,Pending,0.0831,0
L308145,C108145,Vehicle Loan,1069303.3,84,50300,709,18080.23,7.7,Approved,0.1716,0
L306672,C106672,Education Loan,1179054.12,36,103200,642,27734.51,10.8,Pending,0.2513,0
L302626,C102626,Business Loan,420583.7,12,29000,658,855.28,33.1,Pending,0.0828,0
L301508,C101508,Business Loan,1845916.67,24,90000,728,22852.25,18.8,Approved,0.1505,0
L306099,C106099,Business Loan,2141278.91,60,72900,594,0.0,3.1,Approved,0.1911,0
L304902,C104902,Personal Loan,546136.99,36,137200,587,49803.96,10.2,Approved,0.3134,1
L301756,C101756,Home Loan,6825476.24,24,21200,604,1334.43,3.5,Approved,0.5147,1
L300157,C100157,Education Loan,1275236.11,24,19000,641,0.0,8.4,Approved,0.235,0
L305164,C105164,Business Loan,3941643.76,60,98700,744,15977.48,12.8,Approved,0.0984,0
L305879,C105879,Personal Loan,767922.72,84,26700,692,3961.27,0.0,Approved,0.1863,1
L305840,C105840,Home Loan,5555109.62,12,67900,575,826.79,26.0,Approved,0.1004,0
L300047,C100047,Business Loan,1106959.03,60,52100,632,11507.11,30.6,Pending,0.1386,0
L301259,C101259,Education Loan,1590650.64,12,69100,758,154.34,17.2,Approved,0.1086,0
L307338,C107338,Business Loan,2403861.7,12,26700,680,6198.86,0.8,Pending,0.3499,0
L305129,C105129,Vehicle Loan,843982.38,180,101000,807,21108.36,15.3,Pending,0.09,0
L304822,C104822,Personal Loan,740320.97,24,101400,703,16333.57,20.7,Approved,0.1077,0
L304887,C104887,Education Loan,1234125.88,12,25200,633,2180.27,19.2,Approved,0.175,0
L304949,C104949,Education Loan,504785.94,84,88100,663,14238.74,5.2,Approved,0.1856,0
L306875,C106875,Education Loan,1674995.17,24,85600,807,0.0,11.8,Pending,0.0467,0
L301594,C101594,Business Loan,3507115.26,60,40700,688,164.84,24.8,Approved,0.0448,0
L300808,C100808,Business Loan,318372.31,24,91400,794,16235.53,10.6,Pending,0.1111,0
L305783,C105783,Vehicle Loan,347627.98,36,73000,737,17274.17,17.9,Approved,0.0759,0
L302707,C102707,Home Loan,7832697.37,84,47000,587,4045.76,3.0,Approved,0.2935,0
L301681,C101681,Home Loan,2588887.34,120,12000,645,2680.72,0.0,Approved,0.2678,0
L309439,C109439,Personal Loan,207426.58,36,132200,657,17646.26,4.1,Pending,0.1514,0
