transaction_id,customer_id,account_id,date,amount,transaction_type,category,merchant,payment_method,location
T00000001,C100000,A200001,2026-07-14,3217.51,Debit,Shopping,Myntra,Net Banking,Delhi
T00000002,C100000,A200001,2026-03-21,258.97,Debit,Education,Udemy,NEFT,Delhi
T00000003,C100000,A200001,2026-07-27,1297.06,Debit,Food,Zomato,Cash,Delhi
T00000004,C100000,A200001,2026-07-27,398.42,Debit,Investment,Groww,NEFT,Delhi
T00000005,C100000,A200001,2026-06-16,877.95,Debit,Entertainment,PVR,Credit Card,Delhi
T00000006,C100000,A200001,2026-06-22,620.44,Debit,Shopping,Local Store,Debit Card,Delhi
T00000007,C100000,A200001,2026-03-30,349.4,Debit,Education,Coursera,NEFT,Delhi
T00000008,C100000,A200001,2026-04-14,1275.07,Debit,Food,Swiggy,UPI,Delhi
T00000009,C100000,A200001,2026-04-27,33.99,Debit,Fuel,HP Petrol Pump,Net Banking,Delhi
T00000010,C100000,A200001,2026-02-27,243.98,Debit,Shopping,Flipkart,Net Banking,Delhi
T00000011,C100000,A200001,2026-04-22,91.19,Debit,Food,Local Restaurant,NEFT,Delhi
T00000012,C100000,A200001,2026-04-29,732.05,Debit,ATM,ATM Withdrawal,NEFT,Delhi
T00000013,C100000,A200001,2026-02-14,705.94,Debit,Education,Udemy,Debit Card,Delhi
T00000014,C100000,A200001,2026-07-16,116.74,Debit,Transfer,P2P Transfer,UPI,Delhi
T00000015,C100000,A200001,2026-02-07,306.52,Debit,Shopping,Local Store,UPI,Delhi
T00000016,C100000,A200001,2026-05-19,5439.62,Debit,Shopping,Local Store,Cash,Delhi
T00000017,C100000,A200001,2026-04-30,38.07,Debit,ATM,ATM Withdrawal,Credit Card,Delhi
T00000018,C100000,A200001,2026-03-03,2977.42,Debit,Education,College Fee,Debit Card,Delhi
T00000019,C100000,A200001,2026-07-05,1432.23,Debit,Other,Misc Merchant,Cash,Delhi
T00000020,C100000,A200001,2026-02-20,28.2,Debit,Education,Udemy,UPI,Delhi
T00000021,C100000,A200001,2026-02-05,48.78,Debit,Entertainment,Spotify,NEFT,Delhi
T00000022,C100000,A200001,2026-04-20,804.79,Debit,Education,Udemy,NEFT,Delhi
T00000023,C100000,A200001,2026-05-10,3805.51,Debit,ATM,ATM Withdrawal,Cash,Delhi
T00000024,C100000,A200001,2026-05-03,20.0,Debit,Shopping,Myntra,UPI,Delhi
T00000025,C100000,A200001,2026-05-22,90.97,Debit,Fuel,Indian Oil,Net Banking,Delhi
T00000026,C100000,A200001,2026-02-15,35.09,Debit,Education,College Fee,Net Banking,Delhi
T00000027,C100000,A200001,2026-03-07,565.6,Debit,Fuel,HP Petrol Pump,Credit Card,Delhi
T00000028,C100000,A200001,2026-04-03,291.03,Debit,ATM,ATM Withdrawal,Net Banking,Delhi
T00000029,C100000,A200001,2026-05-31,71.36,Debit,Food,Zomato,Net Banking,Delhi
T00000030,C100000,A200001,2026-04-05,1477.15,Debit,Shopping,Local Store,Credit Card,Delhi
T00000031,C100000,A200001,2026-06-21,243.59,Debit,Shopping,Local Store,Credit Card,Delhi
T00000032,C100000,A200001,2026-06-22,221.17,Debit,Transfer,P2P Transfer,NEFT,Delhi
T00000033,C100000,A200001,2026-05-10,2603.21,Debit,Transfer,P2P Transfer,Net Banking,Delhi
T00000034,C100000,A200001,2026-04-23,603.28,Debit,ATM,ATM Withdrawal,NEFT,Delhi
T00000035,C100000,A200001,2026-04-26,401.45,Debit,Education,College Fee,Credit Card,Delhi
T00000036,C100000,A200001,2026-04-22,1248.23,Debit,Shopping,Local Store,Cash,Delhi
T00000037,C100000,A200001,2026-06-29,240.81,Debit,Fuel,Indian Oil,Net Banking,Delhi
T00000038,C100000,A200001,2026-07-23,1539.68,Debit,ATM,ATM Withdrawal,Debit Card,Delhi
T00000039,C100000,A200001,2026-04-07,693.51,Debit,Investment,SIP Auto-debit,UPI,Delhi
T00000040,C100000,A200001,2026-05-31,743.6,Debit,Shopping,Flipkart,NEFT,Delhi
T00000041,C100000,A200001,2026-03-03,719.73,Debit,ATM,ATM Withdrawal,Net Banking,Delhi
T00000042,C100000,A200001,2026-03-07,564.2,Debit,Fuel,Indian Oil,NEFT,Delhi
T00000043,C100000,A200001,2026-05-23,819.45,Debit,Shopping,Local Store,Net Banking,Delhi
T00000044,C100000,A200001,2026-07-27,95.59,Debit,Shopping,Amazon,Credit Card,Delhi
T00000045,C100000,A200001,2026-04-28,20.0,Debit,Shopping,Local Store,Net Banking,Delhi
T00000046,C100000,A200001,2026-05-17,24.2,Debit,Fuel,Indian Oil,Credit Card,Delhi
T00000047,C100000,A200001,2026-02-11,710.51,Debit,Investment,Groww,NEFT,Delhi
T00000048,C100000,A200001,2026-07-31,1436.46,Debit,Other,Misc Merchant,Cash,Delhi
T00000049,C100000,A200001,2026-06-04,20.0,Debit,Shopping,Flipkart,Debit Card,Delhi
T00000050,C100000,A200001,2026-03-07,755.8,Debit,Shopping,Myntra,NEFT,Delhi
T00000051,C100000,A200001,2026-04-03,975.78,Debit,ATM,ATM Withdrawal,Debit Card,Delhi
T00000052,C100000,A200001,2026-02-22,1475.21,Debit,Fuel,HP Petrol Pump,UPI,Delhi
T00000053,C100000,A200001,2026-06-16,90.76,Debit,ATM,ATM Withdrawal,Credit Card,Delhi
T00000054,C100000,A200001,2026-02-08,145.19,Debit,Shopping,Myntra,NEFT,Delhi
T00000055,C100000,A200001,2026-05-17,106.53,Debit,Shopping,Flipkart,Credit Card,Delhi
T00000056,C100000,A200001,2026-02-17,640.01,Debit,Food,Cafe Coffee Day,Cash,Delhi
T00000057,C100000,A200001,2026-02-25,1063.75,Debit,Shopping,Myntra,Credit Card,Delhi
T00000058,C100000,A200001,2026-06-05,264.47,Debit,Transfer,P2P Transfer,Credit Card,Delhi
T00000059,C100000,A200001,2026-06-07,453.27,Debit,Rent,Landlord Transfer,Cash,Delhi
T00000060,C100000,A200001,2026-06-18,201.13,Debit,ATM,ATM Withdrawal,UPI,Delhi
T00000061,C100000,A200001,2026-05-10,663.36,Debit,Food,Swiggy,Net Banking,Delhi
T00000062,C100000,A200001,2026-07-11,4055.67,Debit,Transfer,P2P Transfer,Net Banking,Delhi
T00000063,C100000,A200001,2026-04-15,1520.04,Debit,Investment,SIP Auto-debit,Cash,Delhi
T00000064,C100000,A200001,2026-03-21,1031.76,Debit,ATM,ATM Withdrawal,Credit Card,Delhi
T00000065,C100000,A200001,2026-07-26,71.54,Debit,Shopping,Amazon,NEFT,Delhi
T00000066,C100000,A200001,2026-04-16,384.91,Debit,Bills,Water Dept,Credit Card,Delhi
T00000067,C100000,A200001,2026-06-13,86.02,Debit,Fuel,Indian Oil,Net Banking,Delhi
T00000068,C100000,A200001,2026-05-15,751.16,Debit,ATM,ATM Withdrawal,Cash,Delhi
T00000069,C100000,A200001,2026-04-02,1030.25,Debit,ATM,ATM Withdrawal,UPI,Delhi
T00000070,C100000,A200001,2026-05-17,31.48,Debit,Bills,Jio,NEFT,Delhi
T00000071,C100000,A200001,2026-02-08,106.07,Debit,Healthcare,1mg,NEFT,Delhi
T00000072,C100000,A200001,2026-07-06,331.41,Debit,Investment,SIP Auto-debit,NEFT,Delhi
T00000073,C100000,A200001,2026-07-18,1430.34,Debit,Shopping,Flipkart,UPI,Delhi
T00000074,C100000,A200001,2026-04-16,550.88,Debit,Bills,Electricity Board,Debit Card,Delhi
